Year,County_of_Residence,State,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Calhoun County, AL",AL,1265,26.67,38.11,38.25,3168.14,28.85,10.45
2018-01-01,"Tulsa County, OK",OK,8933,28.13,38.18,38.25,3243.39,27.58,11.04
2018-01-01,"Carroll County, GA",GA,1540,27.2,38.5,38.5,3253.35,27.98,10.75
2018-01-01,"Saginaw County, MI",MI,2182,27.41,38.75,38.5,3226.9,28.85,11.58
2018-01-01,"Hillsborough County, FL",FL,17126,28.97,38.41,38.5,3230.36,26.75,10.64
2018-01-01,"Lake County, IN",IN,5785,28.12,38.41,38.5,3243.64,28.19,10.72
2018-01-01,"St. Tammany Parish, LA",LA,2932,29.12,38.31,38.5,3263.36,27.0,11.29
2018-01-01,"Osceola County, FL",FL,4437,28.64,38.3,38.5,3231.13,27.08,11.4
2018-01-01,"Sarpy County, NE",NE,2386,29.43,38.3,38.5,3344.03,26.98,12.4
2018-01-01,"Kane County, IL",IL,6337,29.63,38.29,38.5,3288.64,27.56,11.43
2018-01-01,"San Juan County, NM",NM,1444,27.5,38.62,38.5,3236.43,28.31,9.67
2018-01-01,"Douglas County, KS",KS,1116,29.43,38.44,38.5,3277.79,27.26,11.73
2018-01-01,"Denton County, TX",TX,9857,30.03,38.44,38.5,3291.52,26.38,10.85
2018-01-01,"Hays County, TX",TX,2572,29.41,38.35,38.5,3307.68,27.08,10.98
2018-01-01,"Davis County, UT",UT,5302,29.18,38.34,38.5,3277.75,26.28,11.4
2018-01-01,"Manatee County, FL",FL,3452,28.56,38.5,38.75,3293.64,27.28,11.04
2018-01-01,"New Haven County, CT",CT,8519,30.06,38.57,38.75,3280.8,27.47,13.18
2018-01-01,"San Mateo County, CA",CA,8330,32.38,38.65,38.75,3292.79,25.1,11.57
2018-01-01,"San Luis Obispo County, CA",CA,2445,30.08,38.64,38.75,3354.12,26.48,12.84
2018-01-01,"Canyon County, ID",ID,2918,27.71,38.47,38.75,3302.05,27.78,10.79
2018-01-01,"Cherokee County, GA",GA,2562,29.75,38.46,38.75,3319.59,26.94,11.79
2018-01-01,"Stanislaus County, CA",CA,7364,28.52,38.6,38.75,3334.05,28.31,13.14
2018-01-01,"Monterey County, CA",CA,5895,28.87,38.68,38.75,3318.25,27.98,12.25
2018-01-01,"Orange County, NY",NY,5065,29.74,38.83,39.0,3305.78,26.85,9.79
2018-01-01,"Marin County, CA",CA,2127,33.34,38.89,39.0,3373.09,24.97,10.28
2018-01-01,"Rapides Parish, LA",LA,1717,26.85,38.07,35.5,3153.45,28.03,10.82
2018-01-01,"Bossier Parish, LA",LA,1693,27.67,37.95,38.08,3181.81,27.55,11.62
2018-01-01,"Lexington County, SC",SC,3224,28.41,38.29,38.33,3263.56,28.38,11.41
2018-01-01,"Henry County, GA",GA,2705,28.65,38.11,38.33,3158.09,28.03,10.65
2018-01-01,"Orleans Parish, LA",LA,4656,29.09,38.09,38.33,3107.58,27.08,11.23
2018-01-01,"Miami-Dade County, FL",FL,31032,30.24,38.34,38.33,3227.87,25.84,11.9
2018-01-01,"Pulaski County, AR",AR,5123,28.06,38.17,38.33,3172.79,28.02,10.28
2018-01-01,"Brazos County, TX",TX,2584,28.32,38.33,38.58,3263.53,27.13,9.89
2018-01-01,"Salt Lake County, UT",UT,15998,29.02,38.41,38.58,3242.21,26.34,11.01
2018-01-01,"Clark County, NV",NV,26773,28.85,38.4,38.58,3219.97,26.66,11.89
2018-01-01,"Sullivan County, TN",TN,1506,27.36,38.46,38.58,3283.37,27.58,10.66
2018-01-01,"Jefferson County, KY",KY,9584,28.6,38.29,38.58,3248.57,27.2,11.77
2018-01-01,"Bronx County, NY",NY,20121,29.22,38.54,38.58,3194.43,27.29,10.16
